movie,certificate
Far and Away,PG-13
Hoffa,R
Flyboys,PG-13
Paheli,Not Rated
The Karate Kid,PG
Ladies vs. Ricky Bahl,Not Rated
Rowdy Rathore,Not Rated
Teen Wolf: The Movie,TV-MA
Ram Setu,
Fight Club,R
Andhadhun,Not Rated
Hacksaw Ridge,R
Mommy,R
Everything Everywhere All at Once,R
Apocalypto,R
Mary Poppins,G
Poetry,TV-PG
As Good as It Gets,PG-13
The Joy Luck Club,R
Detective Byomkesh Bakshy!,Not Rated
Little Big Man,PG-13
The Talented Mr. Ripley,R
Open Range,R
Jerry Maguire,R
Decision to Leave,Not Rated
Tamasha,Not Rated
The Age of Innocence,PG
Fences,PG-13
Bitter Moon,R
Along With the Gods: The Two Worlds,Not Rated
Manderlay,Not Rated
Band Baaja Baaraat,Not Rated
Glass Onion,PG-13
Kaabil,Not Rated
9th Company,R
The Guardian,PG-13
Rob Roy,R
Free State of Jones,R
Get on Up,PG-13
Fukrey,Not Rated
The Tree of Life,PG-13
T-34,TV-14
Divergent,PG-13
Stillwater,R
Devotion,PG-13
The Harder They Fall,R
The Man Who Fell to Earth,R
Arn: The Knight Templar,R
Under the Silver Lake,R
Love in the Time of Cholera,R
Spider-Man 3,PG-13
Chehre,
A Star Is Born,R
The Bride of Badrinath,Not Rated
All Eyez on Me,R
Godzilla,PG-13
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,
Shutter Island,R
L.A. Confidential,R
All About Eve,Passed
Uri: The Surgical Strike,Not Rated
8Â½,Not Rated
Sleuth,PG
Mystic River,R
All the President's Men,PG
Jab We Met,Not Rated
Star Wars: Episode VII - The Force Awakens,PG-13
A Few Good Men,R
Zulu,Not Rated
Raazi,Not Rated
The Butterfly's Dream,
Close Encounters of the Third Kind,PG
Romeo and Juliet,PG
Victoria,Not Rated
"Duck, You Sucker!",PG
Wake Up Sid,Not Rated
Harry Potter and the Order of the Phoenix,PG-13
Master and Commander: The Far Side of the World,PG-13
A Perfect World,PG-13
Christiane F.,R
Rurouni Kenshin Part II: Kyoto Inferno,TV-MA
The Natural,PG
Fortress of War,Not Rated
Flight,R
Face/Off,R
Don't Look Up,R
American Hustle,R
The Matrix Reloaded,R
The Kerala Story,
We Were Soldiers,R
The Devil All the Time,R
The Master,R
Sonu Ke Titu Ki Sweety,Not Rated
Blackmail,Not Rated
Midway,PG-13
Angels & Demons,PG-13
K-19: The Widowmaker,PG-13
The Sheltering Sky,R
Ride with the Devil,R
Antim: The Final Truth,
The Tomorrow War,PG-13
