movie,certificate
A Streetcar Named Desire,PG
The Testament of Dr. Mabuse,Not Rated
Glory,R
Stray Dog,Not Rated
Suzume,PG
Silver Linings Playbook,R
Training Day,R
3:10 to Yuma,R
Frost/Nixon,R
A Place in the Sun,Passed
Missing,PG
The Edge of Heaven,Not Rated
Kikujiro,PG-13
Character,R
Lord of War,R
Control,R
Meet John Doe,Passed
Neerja,Not Rated
Brat 2,
Dead Man Walking,R
Instructions Not Included,PG-13
The Namesake,PG-13
A Twelve-Year Night,TV-MA
John Wick: Chapter 2,R
Downton Abbey,PG
The China Syndrome,PG
Salvador,R
Raid,Not Rated
The Magician,
Alita: Battle Angel,PG-13
El Camino: A Breaking Bad Movie,TV-MA
Running Scared,R
The Hundred-Foot Journey,PG
Murder in the First,R
The Spanish Apartment,R
Lust for Life,Approved
Point Break,R
Ronin,R
Steve Jobs,R
Pat Garrett & Billy the Kid,R
Of Gods and Men,PG-13
La Piscine,16+
Catch-22,R
First Cow,PG-13
Gunfight at the O.K. Corral,Passed
The Sons of Katie Elder,Passed
Fearless,R
War of the Arrows,R
Shootout at Lokhandwala,Not Rated
Extraction II,R
Star Trek Beyond,PG-13
Sicario: Day of the Soldado,R
Pollock,R
In the Heart of the Sea,PG-13
Ocean's Thirteen,PG-13
Alpha Dog,R
The Sisters Brothers,R
The Conspirator,PG-13
The Life and Death of Peter Sellers,TV-MA
Hellboy,PG-13
Rendition,R
The Stanford Prison Experiment,R
Mary Kom,Not Rated
They Cloned Tyrone,R
Purple Hearts,TV-14
A Most Wanted Man,R
From Hell,R
Notorious,R
The Brave One,R
AKA,TV-MA
Operation Finale,PG-13
The Homesman,R
The Postman Always Rings Twice,R
The Bad Lieutenant: Port of Call - New Orleans,R
Flu,Not Rated
Scream VI,R
The Gray Man,PG-13
Sonic the Hedgehog 2,PG
"Roman J. Israel, Esq.",PG-13
Think Like a Man,PG-13
The Second Best Exotic Marigold Hotel,PG
Jingle Jangle: A Christmas Journey,PG
Alien: Covenant,R
Always,PG
The Congress,Not Rated
Fireproof,PG
Fur: An Imaginary Portrait of Diane Arbus,R
Red Corner,R
Indiana Jones and the Kingdom of the Crystal Skull,PG-13
Two for the Money,R
Girls Trip,R
Bride & Prejudice,PG-13
Dhokha,
10,R
Edtv,PG-13
The Newton Boys,PG-13
The Myth,PG-13
War Machine,TV-MA
The Dark Half,R
Earthquake,PG
End of Days,R
Hurlyburly,R
The Million Dollar Hotel,R
Desi Boyz,Not Rated
Kurtlar Vadisi: Irak,
The 355,PG-13
Twilight,PG-13
By the Sea,R
Pink Cadillac,PG-13
Daman,
Star Wars: Episode IV - A New Hope,PG
Some Like It Hot,Passed
Network,R
Hotel Rwanda,PG-13
The Battle of Algiers,Not Rated
Guardians of the Galaxy,PG-13
Shoplifters,R
Head-On,R
Hot Fuzz,R
A Bronx Tale,R
Awakenings,PG-13
"Like Father, Like Son",Not Rated
Sicario,R
Sorcerer,PG
Good Bye Lenin!,R
Machuca,Not Rated
Volver,R
Only Angels Have Wings,Passed
Lone Survivor,R
The Piano,R
Midnight Express,R
Hair,PG
Dead Man,R
A Simple Plan,R
Clouds,PG-13
Revanche,Not Rated
Spider-Man,PG-13
Love & Mercy,PG-13
Immortal Beloved,R
Rocketman,R
Shot Caller,R
Rounders,R
"Good Morning, Vietnam",R
Chocolat,PG-13
The Last Black Man in San Francisco,R
The Three Burials of Melquiades Estrada,R
Hilary and Jackie,R
The Ballad of Cable Hogue,R
August: Osage County,R
Beomjoidosi,Not Rated
In the Valley of Elah,R
Lantana,R
Lean on Pete,R
The Intern,PG-13
Valkyrie,PG-13
Ever After: A Cinderella Story,PG-13
Everest,PG-13
The Longest Yard,R
Belle,PG
Ill Manors,Not Rated
The Killing of a Sacred Deer,R
Underworld,R
Constantine,R
The X Files,PG-13
Playing by Heart,R
Katyn,Not Rated
Outlaw King,R
Ladyhawke,PG-13
Newsies,PG
The Night Comes for Us,TV-MA
White God,R
Sink or Swim,
The Good Nurse,R
The Long Kiss Goodnight,R
Bringing Out the Dead,R
The Boys in the Band,R
Harper,Not Rated
Attack,
The Equalizer 2,R
The Lost Daughter,R
Live and Let Die,PG
Bloody Daddy,
Ransom,R
Absolute Power,R
Battle of the Sexes,PG-13
The Accidental Tourist,PG
SubUrbia,R
The Teacher,
Mother!,R
Hunter Killer,R
Tears of the Sun,R
Suspect,R
Black or White,PG-13
Mandy,Not Rated
Blindness,R
Angel Has Fallen,R
Remo Williams: The Adventure Begins,PG-13
Charlotte Gray,PG-13
Smilla's Sense of Snow,R
Knowing,PG-13
Inferno,PG-13
Destroyer,R
Blown Away,R
Mystery Men,PG-13
Krull,PG
Blood Red Sky,TV-MA
Ironclad,R
Hannibal Rising,R
Sukiyaki Western Django,R
Hellraiser,R
Jayeshbhai Jordaar,
Gorgeous,PG-13
Money Trap,
The Black Dahlia,R
Thank God,
Batman Forever,PG-13
Snake Eyes,PG-13
How Do You Know,PG-13
Things Heard & Seen,TV-MA
Color of Night,R
Stealth,PG-13
Gol Maal,Not Rated
Oldboy,R
Mad Max: Fury Road,R
Rocky,PG
Platoon,R
Jean de Florette,PG
Slumdog Millionaire,R
Do the Right Thing,R
Stalag 17,Not Rated
Manjhi: The Mountain Man,TV-14
"Crouching Tiger, Hidden Dragon",PG-13
Hero,PG-13
Mishima: A Life in Four Chapters,R
The Sword of Doom,Not Rated
The Book of Sun,Not Rated
The Social Network,PG-13
Kai Po Che,Not Rated
Blue Velvet,R
Argo,R
Sound of Metal,R
A Man for All Seasons,G
After the Wedding,R
The Experiment,R
The Marriage of Maria Braun,R
My Cousin Vinny,R
The Skin I Live In,R
McCabe & Mrs. Miller,R
Sophie Scholl: The Final Days,Not Rated
Agir Roman,
Collateral,R
"tick, tick... BOOM!",PG-13
The Big Sick,R
White Christmas,Not Rated
Tokyo Sonata,PG-13
Survive Style 5+,
BlackBerry,R
Foreign Correspondent,Passed
K-PAX,PG-13
Rust and Bone,R
The Greatest Game Ever Played,PG
The Man Who Knew Too Much,PG
Beautiful Boy,R
Okja,TV-MA
Jane Eyre,PG-13
Mr. Brooks,R
Take Shelter,R
The Banker,PG-13
Rescue Dawn,PG-13
Eight Below,PG
Antwone Fisher,PG-13
Kiss of the Spider Woman,R
Trade,R
Desert Flower,R
CafÃ© de Flore,Not Rated
Roma,R
Shanghai,Not Rated
Anthropoid,R
Manhunter,R
Quadrophenia,R
Mask,PG-13
Force Majeure,R
"Paris, je t'aime",R
Birdy,R
Peaceful Warrior,PG-13
Julius Caesar,Not Rated
Blade,R
On the Basis of Sex,PG-13
The Host,R
The Horse Soldiers,Approved
Spy,R
Hellboy II: The Golden Army,PG-13
Boiler Room,R
Becoming Jane,PG
I Am Love,R
Dragon: The Bruce Lee Story,PG-13
At the End of the Tunnel,Not Rated
Days of Glory,R
Crazy Rich Asians,PG-13
Frantic,R
Water for Elephants,PG-13
Topkapi,Unrated
A Cry in the Dark,PG-13
Romeo + Juliet,PG-13
Home Alone 2: Lost in New York,PG
Chappie,R
Shin Godzilla,Not Rated
Innerspace,PG
Creepshow,R
I Want You,
Family Plot,PG
Colors,R
Gold,R
Where the Heart Is,PG-13
The Best Man,R
Taking Woodstock,R
Emma,PG
The Immigrant,R
GÃ¼nesi GÃ¶rdÃ¼m,
Exam,Not Rated
It's Complicated,R
Mr. & Mrs. Smith,PG-13
Diamonds Are Forever,PG
Escobar: Paradise Lost,R
The Birth of a Nation,R
Breaking and Entering,R
Jakob the Liar,PG-13
Horns,R
The Space Between Us,PG-13
The Man with the Iron Heart,R
Lust Stories,TV-MA
The Souvenir,R
Mary Shelley,PG-13
War Room,PG
The Many Saints of Newark,R
Scream 2,R
Tideland,R
Deep Impact,PG-13
The Love Witch,Unrated
Needful Things,R
The Outsider,TV-MA
Justice League,PG-13
The Kid Who Would Be King,PG
15 Minutes,R
Swing Vote,PG-13
The Rookie,R
Mary Magdalene,R
A Fall from Grace,TV-MA
Around the World in 80 Days,PG
Planet of the Apes,PG-13
Allegiant,PG-13
Cuttputlli,
Chhapaak,Not Rated
Hellboy,R
Independence Day: Resurgence,PG-13
American History X,R
1917,R
Howl's Moving Castle,PG
True Romance,R
The Searchers,Passed
About Elly,TV-PG
Pride,R
The Untouchables,R
The Bourne Identity,PG-13
Serenity,PG-13
Birdman or (The Unexpected Virtue of Ignorance),R
Open Your Eyes,R
The Man from Nowhere,R
Dreams,PG
Captain Blood,Passed
Deadpool 2,R
The Trial,Not Rated
The Birds,PG-13
Dangerous Liaisons,R
Only Yesterday,PG
The Boy and the Beast,PG-13
After Life,Not Rated
"I, Tonya",R
The Favourite,R
House of Flying Daggers,PG-13
A Bittersweet Life,Not Rated
The Collector,Not Rated
Sharmaji Namkeen,
The Concert,PG-13
Looper,R
And Justice for All,R
Cross of Iron,R
Journal 64,Not Rated
Revolutionary Road,R
20th Century Women,R
Rocky II,PG
Star Trek IV: The Voyage Home,PG
Betty Blue,Unrated
Pom Poko,PG
The Man with the Golden Arm,Passed
Infernal Affairs II,Not Rated
Gangster's Paradise: Jerusalema,R
Natural Born Killers,R
The Life Aquatic with Steve Zissou,R
Michael Clayton,R
The Report,R
Eight Men Out,PG
Children of a Lesser God,R
Pretty Woman,R
Wrath of Man,R
The Lobster,R
There's Something About Mary,R
Far from the Madding Crowd,PG-13
To Leslie,R
The Danish Girl,R
If Beale Street Could Talk,R
Safe,R
A Love Song for Bobby Long,R
Department Q: The Absent One,Not Rated
Wedding Crashers,R
The Color of Money,R
The Dressmaker,R
Flash of Genius,PG-13
Confession of Murder,Not Rated
Jumanji: Welcome to the Jungle,PG-13
Fatal Attraction,R
Stronger,R
Mr. Jones,
Quigley Down Under,PG-13
Dead Presidents,R
Christine,R
Bright Star,PG
Suck Me Shakespeer,
Shinjuku Incident,R
Shubh Mangal Savdhan,Not Rated
Bad Boys,R
Logan's Run,PG
Rise of the Footsoldier,R
Thunderheart,R
The Vanishing of Sidney Hall,R
The Client,PG-13
You've Got Mail,PG
The Exorcism of Emily Rose,PG-13
Sweet November,PG-13
French Connection II,R
"Mystery, Alaska",R
The Beach,R
Maleficent: Mistress of Evil,PG
The Chronicles of Riddick,R
The Snowtown Murders,Not Rated
The Way of the Gun,R
Light of My Life,R
"Men, Women & Children",R
One Eight Seven,R
Detective Dee: The Mystery of the Phantom Flame,PG-13
To Catch a Killer,R
The Sisterhood of the Traveling Pants,PG
Crimson Peak,R
Tomorrow Never Dies,PG-13
Olympus Has Fallen,R
Pulse,R
The Fourth Protocol,R
Hero,PG-13
Greenland,PG-13
Burlesque,PG-13
Riddick,R
Enigma,R
The Mothman Prophecies,PG-13
The Personal History of David Copperfield,PG
Tomb Raider,PG-13
The Internship,PG-13
Anchorman 2: The Legend Continues,PG-13
Paycheck,PG-13
The Frisco Kid,PG
Versus,R
Transcendence,PG-13
The Divergent Series: Insurgent,PG-13
Cold Pursuit,R
The Sisterhood of the Traveling Pants 2,PG-13
W.E.,R
Intimacy,R
The Rum Diary,R
Little Big League,PG
Kandahar,R
Cowboys & Aliens,PG-13
Raising Helen,PG-13
The Green Hornet,PG-13
Bait,R
Act of Vengeance,Not Rated
Disenchanted,PG
High-Rise,R
In the Cut,R
My Mom's New Boyfriend,PG-13
The Snowman,R
The Silence of the Lambs,R
Pan's Labyrinth,R
Room,R
Rififi,Not Rated
The King's Speech,R
Lion,PG-13
The Last Picture Show,R
Roman Holiday,Passed
Arsenic and Old Lace,Not Rated
Captain Fantastic,R
Great Expectations,Approved
East of Eden,PG
Seven Days in May,Approved
Badla,Not Rated
The Bad and the Beautiful,Passed
What's Eating Gilbert Grape,PG-13
Purple Noon,PG-13
How Green Was My Valley,Passed
Train to Busan,Not Rated
Incredibles 2,PG
From Here to Eternity,Passed
The Commitments,R
Shane,Not Rated
Murmur of the Heart,R
In a Better World,R
Indiana Jones and the Temple of Doom,PG
Fear and Loathing in Las Vegas,R
Boys Don't Cry,R
The Distinguished Citizen,
Whisper If I Forget,
"Crazy, Stupid, Love.",PG-13
Tetris,R
Back to the Future Part III,PG
Frequency,PG-13
Man on the Moon,R
The Black Stallion,G
Amazing Grace,PG
The Unknown Woman,R
The Wind Will Carry Us,Not Rated
No,R
The Lincoln Lawyer,R
Instant Family,PG-13
Father Goose,Approved
Holy Spider,
Paterson,R
What's Love Got to Do with It,R
The Captain,
Talk to Me,R
Marshall,PG-13
Loft,
Max Manus: Man of War,Not Rated
Two Is a Family,
After the Storm,Not Rated
Ishqiya,Not Rated
Insomnia,R
Carol,R
Friday Night Lights,PG-13
Glory Road,PG
Dolemite Is My Name,R
Babyteeth,MA-17
Memoir of a Murderer,Not Rated
Drowning by Numbers,R
Gentleman's Agreement,Not Rated
Love Likes Coincidences,
Breathe,PG-13
Kon-Tiki,PG-13
Kinsey,R
Things We Lost in the Fire,R
Code Unknown,Not Rated
Goodbye Bafana,R
Barefoot,
Ant-Man and the Wasp,PG-13
Logan Lucky,PG-13
The Way We Were,PG
Behind the Candelabra,TV-MA
Happy-Go-Lucky,R
The Hitman's Bodyguard,R
Clash of the Titans,PG
Velvet Goldmine,R
Blinded by the Light,PG-13
Wilde,R
El Angel,Not Rated
The Lion King,PG
Three Steps Above Heaven,Not Rated
Saturday Night Fever,R
The Book of Eli,R
News of the World,PG-13
Judy,PG-13
Danger Close,R
Worth,PG-13
Skin,R
The Upside of Anger,R
Cookie's Fortune,PG-13
Infernal Affairs III,Not Rated
Kong: Skull Island,PG-13
Lethal Weapon 3,R
The Bone Collector,R
Frankie and Johnny,R
Goal! The Dream Begins,PG
This Must Be the Place,R
Los ojos de Julia,Not Rated
Beyond the Sea,PG-13
The Crime of Padre Amaro,R
Samba,R
Anna,R
The Best of Me,PG-13
Eagle Eye,PG-13
Hitch,PG-13
The Replacements,PG-13
Lords of Chaos,R
Star Trek: Generations,PG
The Night Porter,R
Dark Blue,R
Take the Lead,PG-13
Gone in 60 Seconds,PG-13
Stealing Beauty,R
The Witches of Eastwick,R
The International,R
Byzantium,R
The Vault,R
Force 10 from Navarone,PG
Kate & Leopold,PG-13
Dead Man Down,R
Switchback,R
Red Notice,PG-13
I Care a Lot,R
Do Revenge,TV-MA
Polar,TV-MA
The Fury,R
Headshot,Not Rated
Thor: Love and Thunder,PG-13
Total Recall,PG-13
Parker,R
Deliver Us from Evil,R
The Beastmaster,PG
Cat People,R
Crisis,R
The Boondock Saints II: All Saints Day,R
Sergio,R
In Fabric,R
Extreme Measures,R
Jack Reacher: Never Go Back,PG-13
The Monuments Men,PG-13
No Escape,R
Winter's Tale,PG-13
The Visitors II: The Corridors of Time,G
Sisters,R
Percy Jackson & the Olympians: The Lightning Thief,PG
The Brothers Grimm,PG-13
Drumline,PG-13
The Road to Wellville,R
1941,PG
Nine,PG-13
Romeo & Juliet,PG-13
Stuck on You,PG-13
G.I. Joe: The Rise of Cobra,PG-13
The Midnight Sky,PG-13
The Juror,R
Knight of Cups,R
Be Cool,PG-13
Mother's Day,PG-13
New Year's Eve,PG-13
Annie,PG
Locked Down,R
The Bad Batch,R
Toys,PG-13
Charlie's Angels,PG-13
Cold Creek Manor,R
Alien,R
Spider-Man: Into the Spider-Verse,PG
Visaaranai,Not Rated
Demon Slayer the Movie: Mugen Train,R
Blade Runner,R
The Big Lebowski,R
Wolf Children,PG
Diabolique,Not Rated
A Moment to Remember,PG-13
The Pursuit of Happyness,PG-13
NausicaÃ¤ of the Valley of the Wind,PG
Dallas Buyers Club,R
"Now, Voyager",Passed
Love Letter,PG
Captains Courageous,G
Nightcrawler,R
The Fall,R
Days of Wine and Roses,Approved
The Whale,R
Another Round,Not Rated
Road to Perdition,R
Water,PG-13
300,R
Kick-Ass,R
Guillermo del Toro's Pinocchio,PG
I've Loved You So Long,PG-13
Brooklyn,PG-13
Red Desert,Not Rated
Brothers,R
Sexmission,
Three Days of the Condor,R
See You Up There,TV-MA
Split,PG-13
Steel Magnolias,PG
Ant-Man,PG-13
Hustle,R
Before the Devil Knows You're Dead,R
The Boat That Rocked,R
Nikita,R
CachÃ© (Hidden),R
The Professionals,PG-13
24 Hour Party People,R
Rosencrantz & Guildenstern Are Dead,PG
Butterflies,
Cars,G
The Birdcage,R
A Room with a View,Not Rated
T2 Trainspotting,R
Arlington Road,R
Trinity Is Still My Name,G
Diva,R
Gunga Din,Approved
Coming to America,R
Four Weddings and a Funeral,R
The Poseidon Adventure,PG
Julia,PG
Von Ryan's Express,Approved
With a Friend Like Harry...,R
Roald Dahl's Matilda the Musical,PG
Holes,PG
The Innocents,Not Rated
Evil Under the Sun,PG
Bedknobs and Broomsticks,G
Rose Island,TV-14
Bobby,R
To End All Wars,R
Nymphomaniac: Vol. I,Not Rated
A Good Year,PG-13
The Edge,R
Everybody Wants Some!!,R
Life Itself,R
Camp X-Ray,R
Tea with Mussolini,PG
Chinese Puzzle,R
A Simple Favor,R
Ghostbusters: Answer the Call,PG-13
Patriot Games,R
The Dry,R
You Only Live Twice,PG
The Idiots,R
Joe,R
We Own the Night,R
Bleed for This,R
Their Finest,R
My Life,PG-13
C'est la vie!,
Chandigarh Kare Aashiqui,
Fifty Dead Men Walking,R
Blade II,R
The A-Team,PG-13
Cocoon,PG-13
Hairspray,PG
Slumberland,PG
The Finest Hours,PG-13
The Grey,R
Kalifornia,R
Stakeout,R
The Soloist,PG-13
Delibal,
Bon Cop Bad Cop,R
The Stranger,TV-MA
Spencer,R
The Heat,R
The Mosquito Coast,PG
The Command,PG-13
Edge of Darkness,R
Sudden Impact,R
22 Bullets,Not Rated
Moonlight Mile,PG-13
Blended,PG-13
Ammonite,R
Mona Lisa Smile,PG-13
Self/less,PG-13
A Little Chaos,R
Just Go with It,PG-13
Evening,PG-13
The BFG,PG
Bright,TV-MA
American Gigolo,R
Newness,Unrated
Country Strong,PG-13
How to Make an American Quilt,PG-13
The Revenant,R
My Fault,
3 Days to Kill,PG-13
The Amityville Horror,R
Infinity Pool,R
The Neon Demon,R
RoboCop,PG-13
S1m0ne,PG-13
Multiplicity,PG-13
In the Electric Mist,R
Indecent Proposal,R
S.W.A.T.,PG-13
The Spy Who Dumped Me,R
Arkansas,R
9Â½ Weeks,R
Father of the Bride,PG-13
Sex and Death 101,R
"SalÃ², or the 120 Days of Sodom",Not Rated
RoboCop 2,R
4.3.2.1.,Not Rated
Shubh Mangal Zyada Saavdhan,Not Rated
Gemini Man,PG-13
The Art of War,R
Metro,R
Boomerang,R
You People,R
Lara Croft: Tomb Raider - The Cradle of Life,PG-13
Iron Eagle,PG-13
The Counselor,R
What Men Want,R
Get Rich or Die Tryin',R
Dominion,R
The Twilight Saga: Breaking Dawn - Part 1,PG-13
Life Is Beautiful,PG-13
Back to the Future,PG
Witness for the Prosecution,Approved
Gran Torino,R
Day for Night,PG
The Fool,
Castaway on the Moon,PG-13
Arrival,PG-13
The Little Foxes,Approved
The Fighter,R
The Hunchback of Notre Dame,Passed
The Servant,Unrated
Ocean's Eleven,PG-13
A Man Called Ove,PG-13
Mon Oncle,Not Rated
The Pawnbroker,Approved
Joyeux Noel,PG-13
Interstate 60: Episodes of the Road,R
Barton Fink,R
Running on Empty,PG-13
Odd Man Out,
The 36th Chamber of Shaolin,R
Nocturnal Animals,R
Trading Places,R
Riders of Justice,Not Rated
The Man Who Wasn't There,R
Ghost Dog: The Way of the Samurai,R
On Body and Soul,Not Rated
The Blind Swordsman: Zatoichi,R
Seeking True Love,Not Rated
King of Devil's Island,Not Rated
The Ghazi Attack,Not Rated
Hichki,Not Rated
The Nice Guys,R
M*A*S*H,R
Tootsie,PG
Frenzy,R
The Strange Love of Martha Ivers,Unrated
Speed,R
Sweeney Todd: The Demon Barber of Fleet Street,R
To Live and Die in L.A.,R
Crimson Tide,R
Matchstick Men,PG-13
Hustle & Flow,R
The Apartment,R
Moby Dick,Not Rated
My Name Is Nobody,PG
Taxi No. 9 2 11: Nau Do Gyarah,Not Rated
The Man from U.N.C.L.E.,PG-13
Lawless,R
Five Feet Apart,PG-13
The Post,PG-13
Dead Ringers,R
Heroic Losers,TV-MA
Like Crazy,Not Rated
The 40-Year-Old Virgin,R
Let Me In,R
John Q,PG-13
The Railway Man,R
Chasing Mavericks,PG
Megan Leavey,PG-13
The Good Boss,
In Order of Disappearance,R
Children Who Chase Lost Voices,TV-14
The Boston Strangler,Approved
Looking for Eric,Not Rated
World War Z,PG-13
Last Night in Soho,R
Passengers,PG-13
The Mule,R
Stargate,PG-13
Highlander,R
American Animals,R
Thelma,Not Rated
The Vikings,Not Rated
Fathers & Daughters,R
Shadow,Not Rated
Look Who's Back,Not Rated
Two Mules for Sister Sara,GP
Deathtrap,PG
Black Snake Moan,R
Absence of Malice,PG
Zero Effect,R
Extraction,R
Creed III,PG-13
Us,R
Yesterday,PG-13
The Last Full Measure,R
The War of the Roses,R
Harsh Times,R
A Prayer Before Dawn,R
Swan Song,R
The East,PG-13
Foul Play,PG
Beyond the Lights,PG-13
Sharper,R
Out of the Furnace,R
2010: The Year We Make Contact,PG
Hillbilly Elegy,R
Phenomena,R
The Pirates of Somalia,R
The Hoax,R
Chhatriwali,
Kedarnath,Not Rated
Sanak,
"Me, Myself & Irene",R
Prince of Persia: The Sands of Time,PG-13
RED 2,PG-13
U-571,PG-13
Courage Under Fire,R
Victory,PG
War of the Worlds,PG-13
I Want You Back,R
I Still Believe,PG
Take This Waltz,R
Love Is All You Need,R
Rabbit Without Ears,
How to Lose a Guy in 10 Days,PG-13
Killer Elite,R
The General's Daughter,R
A Midsummer Night's Dream,PG-13
Star Trek: Nemesis,PG-13
The Siege,R
Burnt Offerings,PG
Not Without My Daughter,PG-13
Mr. Destiny,PG-13
Returner,R
Uncharted,PG-13
Berlin Syndrome,R
Breakthrough,PG
Fast Food Nation,R
The Saint,PG-13
Welcome to Marwen,PG-13
Wonderstruck,PG
The Limits of Control,R
A Million Ways to Die in the West,R
Harlem Nights,R
Divine Secrets of the Ya-Ya Sisterhood,PG-13
Any Which Way You Can,PG
Running with Scissors,R
Bronco Billy,PG
The Voyeurs,R
Original Sin,R
Legal Eagles,PG
Reminiscence,PG-13
The Fan,R
Ghosted,PG-13
Jaws 2,PG
The Heartbreak Kid,R
V/H/S,R
All the Pretty Horses,PG-13
Battle Los Angeles,PG-13
Diary of a Mad Black Woman,PG-13
A Single Shot,R
Scream 3,R
Stowaway,TV-MA
Timeline,PG-13
Runaway Bride,PG
Bad Company,PG-13
Fred Claus,PG
City Slickers II: The Legend of Curly's Gold,PG-13
Baywatch,R
Through My Window,TV-MA
That's My Boy,R
Peninsula,Not Rated
Cocoon: The Return,PG
Robin Hood,PG-13
Hollywood Homicide,PG-13
The Week Of,TV-14
Asterix at the Olympic Games,Not Rated
"Pretty Village, Pretty Flame",
Indiana Jones and the Raiders of the Lost Ark,PG
The Lizard,
"Three Billboards Outside Ebbing, Missouri",R
The Heiress,Not Rated
The Incredibles,PG
The Bourne Ultimatum,PG-13
Elite Squad,R
Elite Squad 2: The Enemy Within,Not Rated
Investigation of a Citizen Above Suspicion,R
Cars of the Revolution,
E.T.,PG
Still Walking,Not Rated
Cowboy Bebop: The Movie,TV-14
Mr. Deeds Goes to Town,Not Rated
Adaptation.,R
Miller's Crossing,R
Nebraska,R
Corpus Christi,Unrated
Stroszek,Not Rated
Breakfast at Tiffany's,Approved
Superman II: The Richard Donner Cut,PG
Maudie,PG-13
Shooting Dogs,R
Doctor Strange,PG-13
Lady Vengeance,R
Of Mice and Men,PG-13
Disconnect,R
October,Not Rated
Minari,PG-13
Invasion of the Body Snatchers,PG
Picnic at Hanging Rock,PG
An Affair to Remember,Not Rated
They Call Me Trinity,G
La belle Ã©poque,R
The Secret Life of Words,Not Rated
61 Days,
Little Women,PG
Pale Rider,R
The Descendants,R
From Russia with Love,PG
This Boy's Life,R
"The Long, Hot Summer",Not Rated
Bedevilled,Not Rated
The Innocents,PG-13
Read My Lips,R
The Parade,Not Rated
Now You See Me,PG-13
The Founder,PG-13
Minamata,R
Dheepan,R
NH 10,Not Rated
American Made,R
Free Guy,PG-13
The Dreamers,NC-17
The Ring,PG-13
Mrs. Harris Goes to Paris,PG
Wild,R
"I, Robot",PG-13
Audition,R
The Year of Living Dangerously,PG
The Dark Valley,Not Rated
The Method,
Thor,PG-13
The Sea Beast,PG
The Pink Panther,Approved
Marley & Me,PG
Starman,PG
Thunderbolt and Lightfoot,R
Official Competition,R
Pawn Sacrifice,PG-13
Holy Motors,Not Rated
Crooklyn,PG-13
A War,R
Con Air,R
Finch,PG-13
Naked Lunch,R
Return to Me,PG
The Stepford Wives,PG
Boy Erased,R
Noroi,Not Rated
The Wolf's Call,TV-14
The Lucky Ones,R
Annihilation,R
White Men Can't Jump,R
The Lover,R
Patch Adams,PG-13
Green Zone,R
Charlie and the Chocolate Factory,PG
Escape Plan,R
Atomic Blonde,R
Demolition Man,R
Safe House,R
The Other Boleyn Girl,PG-13
Jungle,R
Center Stage,PG-13
Things to Do in Denver When You're Dead,R
Appaloosa,R
The Golden Glove,Not Rated
The Man Without a Face,PG-13
The Bridge at Remagen,R
Empire of Light,R
One Piece Film: Red,PG-13
Safe Haven,PG-13
Gigi,G
Kiss the Girls,R
The Recruit,PG-13
When the Game Stands Tall,PG
Seraphim Falls,R
A Civil Action,PG-13
"Corrina, Corrina",PG
Smile,R
Terminator Salvation,PG-13
Flatliners,R
Internal Affairs,R
Ladder 49,PG-13
Moscow on the Hudson,R
Geronimo: An American Legend,PG-13
Boys on the Side,R
The Princess Diaries,G
Bros,R
Pitch Perfect 2,PG-13
Rogue Agent,
No Sudden Move,R
High Crimes,PG-13
Into the Night,R
The Yards,R
Harlock: Space Pirate,Not Rated
Ted 2,R
Meet the Fockers,PG-13
Beowulf,PG-13
Triple 9,R
Crooked House,PG-13
Tales from Earthsea,PG-13
Wolfen,R
Mad City,PG-13
Ararat,R
In the Shadow of the Moon,TV-MA
Outlander,R
Eraser,R
The Arrival,PG-13
Last Knights,R
Man of the Year,PG-13
Murder by Numbers,R
The Girl in the Spider's Web,R
Romeo Must Die,R
Tequila Sunrise,R
How to Be a Latin Lover,PG-13
6 Bullets,R
I Now Pronounce You Chuck & Larry,PG-13
Holy Smoke,R
The Babe,PG
Suck Me Shakespeer 2,
The Gunman,R
Mulan,PG-13
The Getaway,R
For Richer or Poorer,PG-13
Goal II: Living the Dream,PG-13
The Vanished,R
Enough,PG-13
The Mother,R
The Box,PG-13
Assassin's Creed,PG-13
Magic Mike XXL,R
Deep Water,R
The Twilight Saga: Breaking Dawn - Part 2,PG-13
3 from Hell,R
Stomp the Yard,PG-13
Miss Congeniality 2: Armed & Fabulous,PG-13
Taxi Driver,R
The Passion of Joan of Arc,Passed
White Heat,Not Rated
The Imitation Game,PG-13
Let the Right One In,R
The Big Sleep,Passed
Tampopo,Not Rated
Nine Queens,R
The Stoning of Soraya M.,R
"Goodbye, Mr. Chips",Unrated
The Holy Mountain,16+
Gaslight,Passed
The Goonies,PG
The Banshees of Inisherin,R
The Magdalene Sisters,R
Blind Chance,Not Rated
The Mitchells vs the Machines,PG
Gone Baby Gone,R
Battle Royale,Not Rated
The Long Good Friday,R
Karwaan,Not Rated
The Impossible,PG-13
Rudy,PG
"Suddenly, Last Summer",Approved
Fresh,R
Blue Collar,R
Dolls,
Barbie,PG-13
Bullitt,M/PG
August Rush,PG
Hoosiers,PG
The Specials,
Summer Wars,PG
Chef,R
Poltergeist,PG
The Secret Life of Walter Mitty,PG
Capote,R
Bad Boy Bubby,Not Rated
The Ultimate Gift,PG
Norma Rae,PG
Monsoon Wedding,R
Lethal Weapon 2,R
RocknRolla,R
The Secret Life of Bees,PG-13
An American in Paris,Passed
The Tale,TV-MA
Spare Parts,PG-13
WarGames,PG
War Dogs,R
No Way Out,R
Klute,R
Three Kings,R
