title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Jakob the Liar,1999,120,Drama,"['Peter Kassovitz', 'Robin Williams', 'Hannah Taylor Gordon', 'Éva Igó', 'István Bálint']","['Robin Williams', 'Hannah Taylor Gordon', 'Éva Igó', 'István Bálint']",6.5,40,17725,4.96
Horns,2013,120,Comedy,"['Alexandre Aja', 'Daniel Radcliffe', 'Juno Temple', 'Max Minghella', 'Joe Anderson']","['Daniel Radcliffe', 'Juno Temple', 'Max Minghella', 'Joe Anderson']",6.4,46,86194,0.16
The Space Between Us,2017,120,Drama,"['Peter Chelsom', 'Gary Oldman', 'Asa Butterfield', 'Carla Gugino', 'Britt Robertson']","['Gary Oldman', 'Asa Butterfield', 'Carla Gugino', 'Britt Robertson']",6.4,33,54989,7.89
The Man with the Iron Heart,2017,120,Action,"['Cédric Jimenez', 'Jason Clarke', 'Rosamund Pike', ""Jack O'Connell"", 'Jack Reynor']","['Jason Clarke', 'Rosamund Pike', ""Jack O'Connell"", 'Jack Reynor']",6.4,,17823,
Lust Stories,2018,120,Drama,"['Zoya Akhtar', 'Dibakar Banerjee', 'Karan Johar', 'Anurag Kashyap', 'Kiara Advani', 'Vicky Kaushal', 'Bhumi Pednekar', 'Neil Bhoopalam']","['Dibakar Banerjee', 'Karan Johar', 'Anurag Kashyap', 'Kiara Advani', 'Vicky Kaushal', 'Bhumi Pednekar', 'Neil Bhoopalam']",6.4,,12555,
The Souvenir,2019,120,Drama,"['Joanna Hogg', 'Neil Young', 'Tosin Cole', 'Jack McMullen', 'Frankie Wilson']","['Neil Young', 'Tosin Cole', 'Jack McMullen', 'Frankie Wilson']",6.4,92,13845,1.04
Mary Shelley,2017,120,Biography,"['Haifaa Al-Mansour', 'Elle Fanning', 'Bel Powley', 'Owen Richards', 'Joanne Froggatt']","['Elle Fanning', 'Bel Powley', 'Owen Richards', 'Joanne Froggatt']",6.4,49,16940,0.11
War Room,2015,120,Drama,"['Alex Kendrick', 'Priscilla C. Shirer', 'T.C. Stallings', 'Karen Abercrombie', 'Beth Moore']","['Priscilla C. Shirer', 'T.C. Stallings', 'Karen Abercrombie', 'Beth Moore']",6.4,26,15592,67.79
The Many Saints of Newark,2021,120,Crime,"['Alan Taylor', 'Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']","['Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']",6.3,60,59103,
Scream 2,1997,120,Horror,"['Wes Craven', 'Neve Campbell', 'Courteney Cox', 'David Arquette', 'Jada Pinkett Smith']","['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Jada Pinkett Smith']",6.3,63,199971,101.36
Tideland,2005,120,Drama,"['Terry Gilliam', 'Jeff Bridges', 'Jennifer Tilly', 'Jodelle Ferland', 'Janet McTeer']","['Jeff Bridges', 'Jennifer Tilly', 'Jodelle Ferland', 'Janet McTeer']",6.3,26,34166,0.07
Deep Impact,1998,120,Action,"['Mimi Leder', 'Robert Duvall', 'Téa Leoni', 'Elijah Wood', 'Morgan Freeman']","['Robert Duvall', 'Téa Leoni', 'Elijah Wood', 'Morgan Freeman']",6.2,40,184646,140.46
The Love Witch,2016,120,Comedy,"['Anna Biller', 'Samantha Robinson', 'Jeffrey Vincent Parise', 'Laura Waddell', 'Gian Keys']","['Samantha Robinson', 'Jeffrey Vincent Parise', 'Laura Waddell', 'Gian Keys']",6.2,82,18280,0.23
Needful Things,1993,120,Crime,"['Fraser C. Heston', 'Max von Sydow', 'Ed Harris', 'Bonnie Bedelia', 'Amanda Plummer']","['Max von Sydow', 'Ed Harris', 'Bonnie Bedelia', 'Amanda Plummer']",6.2,43,26484,15.19
The Outsider,2018,120,Action,"['Martin Zandvliet', 'Jared Leto', 'Tadanobu Asano', 'Kippei Shîna', 'Shioli Kutsuna']","['Jared Leto', 'Tadanobu Asano', 'Kippei Shîna', 'Shioli Kutsuna']",6.2,30,27837,
Justice League,2017,120,Action,"['Zack Snyder', 'Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']","['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']",6.1,45,467305,229.02
The Kid Who Would Be King,2019,120,Action,"['Joe Cornish', 'Louis Ashbourne Serkis', 'Denise Gough', 'Dean Chaumoo', 'Tom Taylor']","['Louis Ashbourne Serkis', 'Denise Gough', 'Dean Chaumoo', 'Tom Taylor']",6.1,66,18011,16.79
15 Minutes,2001,120,Action,"['John Herzfeld', 'Robert De Niro', 'Edward Burns', 'Kelsey Grammer', 'Avery Brooks']","['Robert De Niro', 'Edward Burns', 'Kelsey Grammer', 'Avery Brooks']",6.1,34,51307,24.4
Swing Vote,2008,120,Comedy,"['Joshua Michael Stern', 'Kevin Costner', 'Paula Patton', 'Kelsey Grammer', 'Madeline Carroll']","['Kevin Costner', 'Paula Patton', 'Kelsey Grammer', 'Madeline Carroll']",6.1,47,19177,16.28
The Rookie,1990,120,Action,"['Clint Eastwood', 'Clint Eastwood', 'Charlie Sheen', 'Raul Julia', 'Sonia Braga']","['Clint Eastwood', 'Charlie Sheen', 'Raul Julia', 'Sonia Braga']",5.9,41,28533,21.63
Mary Magdalene,2018,120,Biography,"['Garth Davis', 'Rooney Mara', 'Joaquin Phoenix', 'Chiwetel Ejiofor', 'Tahar Rahim']","['Rooney Mara', 'Joaquin Phoenix', 'Chiwetel Ejiofor', 'Tahar Rahim']",5.9,48,11024,0.12
A Fall from Grace,2020,120,Thriller,"['Tyler Perry', 'Crystal Fox', 'Phylicia Rashad', 'Bresha Webb', 'Mehcad Brooks']","['Crystal Fox', 'Phylicia Rashad', 'Bresha Webb', 'Mehcad Brooks']",5.9,34,16485,
Around the World in 80 Days,2004,120,Action,"['Frank Coraci', 'Jackie Chan', 'Steve Coogan', 'Jim Broadbent', 'Kathy Bates']","['Jackie Chan', 'Steve Coogan', 'Jim Broadbent', 'Kathy Bates']",5.8,49,92883,24.01
Planet of the Apes,2001,120,Action,"['Tim Burton', 'Mark Wahlberg', 'Helena Bonham Carter', 'Tim Roth', 'Michael Clarke Duncan']","['Mark Wahlberg', 'Helena Bonham Carter', 'Tim Roth', 'Michael Clarke Duncan']",5.7,50,224506,180.01
Allegiant,2016,120,Action,"['Robert Schwentke', 'Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Naomi Watts']","['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Naomi Watts']",5.7,33,128747,66.18
Cuttputlli,2022,120,Crime,"['Ranjit Tewari', 'Akshay Kumar', 'Rakul Preet Singh', 'Sargun Mehta', 'Chandrachur Singh']","['Akshay Kumar', 'Rakul Preet Singh', 'Sargun Mehta', 'Chandrachur Singh']",5.7,,21815,
Chhapaak,2020,120,Biography,"['Meghna Gulzar', 'Deepika Padukone', 'Vikrant Massey', 'Madhurjeet Sarghi', 'Payal Nair']","['Deepika Padukone', 'Vikrant Massey', 'Madhurjeet Sarghi', 'Payal Nair']",5.4,,27439,
Hellboy,2019,120,Action,"['Neil Marshall', 'David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane']","['David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane']",5.2,31,94829,21.9
Independence Day: Resurgence,2016,120,Action,"['Roland Emmerich', 'Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe']","['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe']",5.2,32,184973,103.14
American History X,1998,119,Crime,"['Tony Kaye', 'Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",8.5,62,1152614,6.72
1917,2019,119,Action,"['Sam Mendes', 'Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']","['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']",8.2,78,634717,159.23
Howl's Moving Castle,2004,119,Animation,"['Hayao Miyazaki', 'Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']","['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",8.2,82,419669,4.71
True Romance,1993,119,Crime,"['Tony Scott', 'Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']","['Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']",7.9,59,235160,12.28
The Searchers,1956,119,Adventure,"['John Ford', 'John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']","['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']",7.9,94,93451,
About Elly,2009,119,Drama,"['Asghar Farhadi', 'Golshifteh Farahani', 'Shahab Hosseini', 'Taraneh Alidoosti', 'Sajjad Dolati']","['Golshifteh Farahani', 'Shahab Hosseini', 'Taraneh Alidoosti', 'Sajjad Dolati']",7.9,87,55585,0.11
Pride,2014,119,Biography,"['Matthew Warchus', 'Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']","['Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']",7.8,79,60068,
The Untouchables,1987,119,Crime,"['Brian De Palma', 'Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith']","['Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith']",7.8,79,321548,76.27
The Bourne Identity,2002,119,Action,"['Doug Liman', 'Franka Potente', 'Matt Damon', 'Chris Cooper', 'Clive Owen']","['Franka Potente', 'Matt Damon', 'Chris Cooper', 'Clive Owen']",7.8,68,562650,121.66
Serenity,2005,119,Action,"['Joss Whedon', 'Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']","['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']",7.8,74,301483,25.51
Birdman or (The Unexpected Virtue of Ignorance),2014,119,Comedy,"['Alejandro G. Iñárritu', 'Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']","['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']",7.7,87,649777,42.34
Open Your Eyes,1997,119,Drama,"['Alejandro Amenábar', 'Eduardo Noriega', 'Penélope Cruz', 'Chete Lera', 'Fele Martínez']","['Eduardo Noriega', 'Penélope Cruz', 'Chete Lera', 'Fele Martínez']",7.7,,71641,0.37
The Man from Nowhere,2010,119,Action,"['Jeong-beom Lee', 'Won Bin', 'Kim Sae-ron', 'Kim Tae-hoon', 'Kim Hee-won']","['Won Bin', 'Kim Sae-ron', 'Kim Tae-hoon', 'Kim Hee-won']",7.7,,72540,0.01
Dreams,1990,119,Drama,"['Akira Kurosawa', 'Ishirô Honda', 'Akira Terao', 'Mitsuko Baishô', 'Toshie Negishi', 'Mieko Harada']","['Ishirô Honda', 'Akira Terao', 'Mitsuko Baishô', 'Toshie Negishi', 'Mieko Harada']",7.7,,27862,1.96
Captain Blood,1935,119,Action,"['Michael Curtiz', 'Errol Flynn', 'Olivia de Havilland', 'Lionel Atwill', 'Basil Rathbone']","['Errol Flynn', 'Olivia de Havilland', 'Lionel Atwill', 'Basil Rathbone']",7.7,89,15236,2.96
Deadpool 2,2018,119,Action,"['David Leitch', 'Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']",7.6,66,614287,324.59
The Trial,1962,119,Drama,"['Orson Welles', 'Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns']","['Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns']",7.6,,22888,
The Birds,1963,119,Drama,"['Alfred Hitchcock', 'Rod Taylor', 'Tippi Hedren', 'Jessica Tandy', 'Suzanne Pleshette']","['Rod Taylor', 'Tippi Hedren', 'Jessica Tandy', 'Suzanne Pleshette']",7.6,90,197822,11.4
Dangerous Liaisons,1988,119,Drama,"['Stephen Frears', 'Glenn Close', 'John Malkovich', 'Michelle Pfeiffer', 'Swoosie Kurtz']","['Glenn Close', 'John Malkovich', 'Michelle Pfeiffer', 'Swoosie Kurtz']",7.6,74,73183,34.7
Only Yesterday,1991,119,Animation,"['Isao Takahata', 'Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna', 'Mayumi Izuka']","['Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna', 'Mayumi Izuka']",7.6,90,35023,0.45
The Boy and the Beast,2015,119,Animation,"['Mamoru Hosoda', 'Kôji Yakusho', 'Aoi Miyazaki', 'Shôta Sometani', 'Suzu Hirose']","['Kôji Yakusho', 'Aoi Miyazaki', 'Shôta Sometani', 'Suzu Hirose']",7.6,65,25708,0.45
After Life,1998,119,Drama,"['Hirokazu Koreeda', 'Arata Iura', 'Erika Oda', 'Susumu Terajima', 'Takashi Naitô']","['Arata Iura', 'Erika Oda', 'Susumu Terajima', 'Takashi Naitô']",7.6,91,13059,0.8
"I, Tonya",2017,119,Biography,"['Craig Gillespie', 'Margot Robbie', 'Sebastian Stan', 'Allison Janney', 'Julianne Nicholson']","['Margot Robbie', 'Sebastian Stan', 'Allison Janney', 'Julianne Nicholson']",7.5,77,231325,30.01
The Favourite,2018,119,Biography,"['Yorgos Lanthimos', 'Olivia Colman', 'Emma Stone', 'Rachel Weisz', 'Nicholas Hoult']","['Olivia Colman', 'Emma Stone', 'Rachel Weisz', 'Nicholas Hoult']",7.5,91,210642,34.37
House of Flying Daggers,2004,119,Action,"['Yimou Zhang', 'Ziyi Zhang', 'Takeshi Kaneshiro', 'Andy Lau', 'Dandan Song']","['Ziyi Zhang', 'Takeshi Kaneshiro', 'Andy Lau', 'Dandan Song']",7.5,89,114658,11.05
A Bittersweet Life,2005,119,Action,"['Jee-woon Kim', 'Lee Byung-hun', 'Shin Min-a', 'Yeong-cheol Kim', 'Hwang Jung-min']","['Lee Byung-hun', 'Shin Min-a', 'Yeong-cheol Kim', 'Hwang Jung-min']",7.5,,41792,
The Collector,1965,119,Drama,"['William Wyler', 'Terence Stamp', 'Samantha Eggar', 'Mona Washbourne', 'Maurice Dallimore']","['Terence Stamp', 'Samantha Eggar', 'Mona Washbourne', 'Maurice Dallimore']",7.5,,11453,
Sharmaji Namkeen,2022,119,Comedy,"['Hitesh Bhatia', 'Rishi Kapoor', 'Paresh Rawal', 'Juhi Chawla', 'Isha Talwar']","['Rishi Kapoor', 'Paresh Rawal', 'Juhi Chawla', 'Isha Talwar']",7.5,,10931,
The Concert,2009,119,Comedy,"['Radu Mihaileanu', 'Aleksey Guskov', 'Mélanie Laurent', 'Dmitriy Nazarov', 'François Berléand']","['Aleksey Guskov', 'Mélanie Laurent', 'Dmitriy Nazarov', 'François Berléand']",7.5,60,18438,0.66
Looper,2012,119,Action,"['Rian Johnson', 'Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt', 'Paul Dano']","['Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt', 'Paul Dano']",7.4,84,590290,66.49
And Justice for All,1979,119,Crime,"['Norman Jewison', 'Al Pacino', 'Jack Warden', 'John Forsythe', 'Lee Strasberg']","['Al Pacino', 'Jack Warden', 'John Forsythe', 'Lee Strasberg']",7.4,58,37319,
Cross of Iron,1977,119,Drama,"['Sam Peckinpah', 'James Coburn', 'Maximilian Schell', 'James Mason', 'David Warner']","['James Coburn', 'Maximilian Schell', 'James Mason', 'David Warner']",7.4,64,27797,
Journal 64,2018,119,Crime,"['Christoffer Boe', 'Nikolaj Lie Kaas', 'Fares Fares', 'Johanne Louise Schmidt', 'Søren Pilmark']","['Nikolaj Lie Kaas', 'Fares Fares', 'Johanne Louise Schmidt', 'Søren Pilmark']",7.4,,18117,
Revolutionary Road,2008,119,Drama,"['Sam Mendes', 'Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald', 'Jonathan Roumie']","['Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald', 'Jonathan Roumie']",7.3,69,219941,22.91
20th Century Women,2016,119,Comedy,"['Mike Mills', 'Annette Bening', 'Elle Fanning', 'Greta Gerwig', 'Billy Crudup']","['Annette Bening', 'Elle Fanning', 'Greta Gerwig', 'Billy Crudup']",7.3,83,47670,5.66
Rocky II,1979,119,Drama,"['Sylvester Stallone', 'Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",7.3,61,223585,
Star Trek IV: The Voyage Home,1986,119,Action,"['Leonard Nimoy', 'William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']",7.3,71,89171,109.71
Betty Blue,1986,119,Drama,"['Jean-Jacques Beineix', 'Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon', 'Consuelo De Haviland']","['Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon', 'Consuelo De Haviland']",7.3,56,22615,2
Pom Poko,1994,119,Animation,"['Isao Takahata', 'Shinchô Kokontei', 'Makoto Nonomura', 'Yuriko Ishida', 'Norihei Miki']","['Shinchô Kokontei', 'Makoto Nonomura', 'Yuriko Ishida', 'Norihei Miki']",7.3,77,32411,
The Man with the Golden Arm,1955,119,Crime,"['Otto Preminger', 'Frank Sinatra', 'Kim Novak', 'Eleanor Parker', 'Arnold Stang']","['Frank Sinatra', 'Kim Novak', 'Eleanor Parker', 'Arnold Stang']",7.3,63,11811,
Infernal Affairs II,2003,119,Action,"['Andrew Lau', 'Alan Mak', 'Edison Chen', 'Shawn Yue', 'Anthony Chau-Sang Wong', 'Francis Ng']","['Alan Mak', 'Edison Chen', 'Shawn Yue', 'Anthony Chau-Sang Wong', 'Francis Ng']",7.3,,19117,
Gangster's Paradise: Jerusalema,2008,119,Action,"['Ralph Ziman', 'Rapulana Seiphemo', 'Jeffrey Sekele', 'Ronnie Nyakale', 'Shelley Meskin']","['Rapulana Seiphemo', 'Jeffrey Sekele', 'Ronnie Nyakale', 'Shelley Meskin']",7.3,53,10779,0
Natural Born Killers,1994,119,Action,"['Oliver Stone', 'Woody Harrelson', 'Juliette Lewis', 'Tom Sizemore', 'Rodney Dangerfield']","['Woody Harrelson', 'Juliette Lewis', 'Tom Sizemore', 'Rodney Dangerfield']",7.2,74,243936,50.28
The Life Aquatic with Steve Zissou,2004,119,Action,"['Wes Anderson', 'Bill Murray', 'Owen Wilson', 'Anjelica Huston', 'Cate Blanchett']","['Bill Murray', 'Owen Wilson', 'Anjelica Huston', 'Cate Blanchett']",7.2,62,205553,24.01
Michael Clayton,2007,119,Crime,"['Tony Gilroy', 'George Clooney', 'Tilda Swinton', 'Tom Wilkinson', ""Michael O'Keefe""]","['George Clooney', 'Tilda Swinton', 'Tom Wilkinson', ""Michael O'Keefe""]",7.2,82,170550,49.03
The Report,2019,119,Biography,"['Scott Z. Burns', 'Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine']","['Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine']",7.2,66,47340,
Eight Men Out,1988,119,Drama,"['John Sayles', 'John Cusack', 'Clifton James', 'Jace Alexander', 'Gordon Clapp']","['John Cusack', 'Clifton James', 'Jace Alexander', 'Gordon Clapp']",7.2,71,21290,5.68
Children of a Lesser God,1986,119,Drama,"['Randa Haines', 'William Hurt', 'Marlee Matlin', 'Piper Laurie', 'Philip Bosco']","['William Hurt', 'Marlee Matlin', 'Piper Laurie', 'Philip Bosco']",7.2,80,18006,31.85
Pretty Woman,1990,119,Comedy,"['Garry Marshall', 'Richard Gere', 'Julia Roberts', 'Jason Alexander', 'Laura San Giacomo']","['Richard Gere', 'Julia Roberts', 'Jason Alexander', 'Laura San Giacomo']",7.1,51,340963,178.41
Wrath of Man,2021,119,Action,"['Guy Ritchie', 'Jason Statham', 'Holt McCallany', 'Josh Hartnett', 'Rocci Boy Williams']","['Jason Statham', 'Holt McCallany', 'Josh Hartnett', 'Rocci Boy Williams']",7.1,57,194232,27.47
The Lobster,2015,119,Drama,"['Yorgos Lanthimos', 'Colin Farrell', 'Rachel Weisz', 'Jessica Barden', 'Olivia Colman']","['Colin Farrell', 'Rachel Weisz', 'Jessica Barden', 'Olivia Colman']",7.1,82,273552,8.7
There's Something About Mary,1998,119,Comedy,"['Bobby Farrelly', 'Peter Farrelly', 'Cameron Diaz', 'Matt Dillon', 'Ben Stiller', 'Lee Evans']","['Peter Farrelly', 'Cameron Diaz', 'Matt Dillon', 'Ben Stiller', 'Lee Evans']",7.1,69,321057,176.48
Far from the Madding Crowd,2015,119,Drama,"['Thomas Vinterberg', 'Carey Mulligan', 'Matthias Schoenaerts', 'Michael Sheen', 'Tom Sturridge']","['Carey Mulligan', 'Matthias Schoenaerts', 'Michael Sheen', 'Tom Sturridge']",7.1,71,51758,12.23
To Leslie,2022,119,Drama,"['Michael Morris', 'Andrea Riseborough', 'Drew Youngblood', 'Tom Virtue', 'Lauren Letherer']","['Andrea Riseborough', 'Drew Youngblood', 'Tom Virtue', 'Lauren Letherer']",7.1,84,13792,
The Danish Girl,2015,119,Biography,"['Tom Hooper', 'Eddie Redmayne', 'Alicia Vikander', 'Amber Heard', 'Ben Whishaw']","['Eddie Redmayne', 'Alicia Vikander', 'Amber Heard', 'Ben Whishaw']",7.1,66,194039,11.11
If Beale Street Could Talk,2018,119,Drama,"['Barry Jenkins', 'KiKi Layne', 'Stephan James', 'Regina King', 'Teyonah Parris']","['KiKi Layne', 'Stephan James', 'Regina King', 'Teyonah Parris']",7.1,87,51126,14.92
Safe,1995,119,Drama,"['Todd Haynes', 'Julianne Moore', 'Xander Berkeley', 'Dean Norris', 'Julie Burgess']","['Julianne Moore', 'Xander Berkeley', 'Dean Norris', 'Julie Burgess']",7.1,76,16054,0.51
A Love Song for Bobby Long,2004,119,Drama,"['Shainee Gabel', 'Scarlett Johansson', 'John Travolta', 'Gabriel Macht', 'Deborah Kara Unger']","['Scarlett Johansson', 'John Travolta', 'Gabriel Macht', 'Deborah Kara Unger']",7.1,48,26786,0.16
Department Q: The Absent One,2014,119,Crime,"['Mikkel Nørgaard', 'Nikolaj Lie Kaas', 'Fares Fares', 'Pilou Asbæk', 'David Dencik']","['Nikolaj Lie Kaas', 'Fares Fares', 'Pilou Asbæk', 'David Dencik']",7.1,61,25044,
Wedding Crashers,2005,119,Comedy,"['David Dobkin', 'Owen Wilson', 'Vince Vaughn', 'Rachel McAdams', 'Christopher Walken']","['Owen Wilson', 'Vince Vaughn', 'Rachel McAdams', 'Christopher Walken']",7,64,367097,209.22
The Color of Money,1986,119,Drama,"['Martin Scorsese', 'Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver']",7,77,89701,52.29
The Dressmaker,2015,119,Comedy,"['Jocelyn Moorhouse', 'Kate Winslet', 'Judy Davis', 'Liam Hemsworth', 'Hugo Weaving']","['Kate Winslet', 'Judy Davis', 'Liam Hemsworth', 'Hugo Weaving']",7,47,63553,2.02
Flash of Genius,2008,119,Biography,"['Marc Abraham', 'Greg Kinnear', 'Lauren Graham', 'Alan Alda', 'Tim Eddis']","['Greg Kinnear', 'Lauren Graham', 'Alan Alda', 'Tim Eddis']",7,57,17539,4.23
Confession of Murder,2012,119,Action,"['Byung-gil Jung', 'Jae-yeong Jeong', 'Shi-hoo Park', 'Hae-Kyun Jung', 'Yeong-ae Kim']","['Jae-yeong Jeong', 'Shi-hoo Park', 'Hae-Kyun Jung', 'Yeong-ae Kim']",7,,11267,
Jumanji: Welcome to the Jungle,2017,119,Action,"['Jake Kasdan', 'Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']","['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']",6.9,58,402381,404.52
Fatal Attraction,1987,119,Drama,"['Adrian Lyne', 'Michael Douglas', 'Glenn Close', 'Anne Archer', 'Ellen Latzen']","['Michael Douglas', 'Glenn Close', 'Anne Archer', 'Ellen Latzen']",6.9,67,92983,156.65
Stronger,2017,119,Biography,"['David Gordon Green', 'Jake Gyllenhaal', 'Tatiana Maslany', 'Miranda Richardson', 'Richard Lane Jr.']","['Jake Gyllenhaal', 'Tatiana Maslany', 'Miranda Richardson', 'Richard Lane Jr.']",6.9,76,47881,4.21
Mr. Jones,2019,119,Biography,"['Agnieszka Holland', 'James Norton', 'Vanessa Kirby', 'Peter Sarsgaard', 'Joseph Mawle']","['James Norton', 'Vanessa Kirby', 'Peter Sarsgaard', 'Joseph Mawle']",6.9,68,14560,
Quigley Down Under,1990,119,Action,"['Simon Wincer', 'Tom Selleck', 'Laura San Giacomo', 'Alan Rickman', 'Chris Haywood']","['Tom Selleck', 'Laura San Giacomo', 'Alan Rickman', 'Chris Haywood']",6.9,51,23443,21.41
Dead Presidents,1995,119,Action,"['Albert Hughes', 'Allen Hughes', 'Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']","['Allen Hughes', 'Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']",6.9,,23576,24.2
Christine,2016,119,Biography,"['Antonio Campos', 'Rebecca Hall', 'Michael C. Hall', 'Tracy Letts', 'Maria Dizzia']","['Rebecca Hall', 'Michael C. Hall', 'Tracy Letts', 'Maria Dizzia']",6.9,72,16226,0.3
Bright Star,2009,119,Biography,"['Jane Campion', 'Abbie Cornish', 'Ben Whishaw', 'Paul Schneider', 'Kerry Fox']","['Abbie Cornish', 'Ben Whishaw', 'Paul Schneider', 'Kerry Fox']",6.9,81,28244,4.44
Suck Me Shakespeer,2013,119,Comedy,"['Bora Dagtekin', ""Elyas M'Barek"", 'Karoline Herfurth', 'Katja Riemann', 'Jana Pallaske']","[""Elyas M'Barek"", 'Karoline Herfurth', 'Katja Riemann', 'Jana Pallaske']",6.9,,30594,
Shinjuku Incident,2009,119,Action,"['Tung-Shing Yee', 'Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Jinglei Xu']","['Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Jinglei Xu']",6.9,63,13258,
Shubh Mangal Savdhan,2017,119,Comedy,"['R.S. Prasanna', 'Ayushmann Khurrana', 'Bhumi Pednekar', 'Seema Pahwa', 'Anshul Chauhan']","['Ayushmann Khurrana', 'Bhumi Pednekar', 'Seema Pahwa', 'Anshul Chauhan']",6.9,,10763,0.69
Bad Boys,1995,119,Action,"['Michael Bay', 'Will Smith', 'Martin Lawrence', 'Lisa Boyle', 'Michael Taliferro']","['Will Smith', 'Martin Lawrence', 'Lisa Boyle', 'Michael Taliferro']",6.8,41,277285,65.81
Logan's Run,1976,119,Action,"['Michael Anderson', 'Michael York', 'Jenny Agutter', 'Richard Jordan', 'Roscoe Lee Browne']","['Michael York', 'Jenny Agutter', 'Richard Jordan', 'Roscoe Lee Browne']",6.8,53,59282,25
Rise of the Footsoldier,2007,119,Action,"['Julian Gilbey', 'Ricci Harnett', 'Terry Stone', 'Craig Fairbrass', 'Roland Manookian']","['Ricci Harnett', 'Terry Stone', 'Craig Fairbrass', 'Roland Manookian']",6.8,,21286,
Thunderheart,1992,119,Crime,"['Michael Apted', 'Val Kilmer', 'Sam Shepard', 'Graham Greene', 'Fred Ward']","['Val Kilmer', 'Sam Shepard', 'Graham Greene', 'Fred Ward']",6.8,58,16747,22.66
