title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Samaritan,2022,102,Action,"['Julius Avery', 'Sylvester Stallone', ""Javon 'Wanna' Walton"", 'Pilou Asbæk', 'Dascha Polanco']","['Sylvester Stallone', ""Javon 'Wanna' Walton"", 'Pilou Asbæk', 'Dascha Polanco']",5.7,45,51515,
Strange World,2022,102,Animation,"['Don Hall', 'Qui Nguyen', 'Jake Gyllenhaal', 'Jaboukie Young-White', 'Gabrielle Union', 'Dennis Quaid']","['Qui Nguyen', 'Jake Gyllenhaal', 'Jaboukie Young-White', 'Gabrielle Union', 'Dennis Quaid']",5.7,65,41971,
The Watch,2012,102,Comedy,"['Akiva Schaffer', 'Ben Stiller', 'Vince Vaughn', 'Jonah Hill', 'Billy Crudup']","['Ben Stiller', 'Vince Vaughn', 'Jonah Hill', 'Billy Crudup']",5.7,36,130973,35.35
Wild Mountain Thyme,2020,102,Comedy,"['John Patrick Shanley', 'Emily Blunt', 'Jamie Dornan', 'Jon Hamm', 'Christopher Walken']","['Emily Blunt', 'Jamie Dornan', 'Jon Hamm', 'Christopher Walken']",5.7,42,10952,
Little Italy,2018,102,Comedy,"['Donald Petrie', 'Emma Roberts', 'Hayden Christensen', 'Danny Aiello', 'Andrea Martin']","['Emma Roberts', 'Hayden Christensen', 'Danny Aiello', 'Andrea Martin']",5.7,28,16418,0.99
Angel Eyes,2001,102,Drama,"['Luis Mandoki', 'Jennifer Lopez', 'Jim Caviezel', 'Jeremy Sisto', 'Terrence Howard']","['Jennifer Lopez', 'Jim Caviezel', 'Jeremy Sisto', 'Terrence Howard']",5.7,39,25234,24.04
America's Sweethearts,2001,102,Comedy,"['Joe Roth', 'Julia Roberts', 'John Cusack', 'Billy Crystal', 'Catherine Zeta-Jones']","['Julia Roberts', 'John Cusack', 'Billy Crystal', 'Catherine Zeta-Jones']",5.7,44,59201,93.61
How to Talk to Girls at Parties,2017,102,Comedy,"['John Cameron Mitchell', 'Elle Fanning', 'Alex Sharp', 'Nicole Kidman', 'Matt Lucas']","['Elle Fanning', 'Alex Sharp', 'Nicole Kidman', 'Matt Lucas']",5.7,50,11960,0.08
Because I Said So,2007,102,Comedy,"['Michael Lehmann', 'Diane Keaton', 'Mandy Moore', 'Gabriel Macht', 'Tom Everett Scott']","['Diane Keaton', 'Mandy Moore', 'Gabriel Macht', 'Tom Everett Scott']",5.6,26,39567,42.67
The Kitchen,2019,102,Action,"['Andrea Berloff', 'Melissa McCarthy', 'Tiffany Haddish', 'Elisabeth Moss', 'Domhnall Gleeson']","['Melissa McCarthy', 'Tiffany Haddish', 'Elisabeth Moss', 'Domhnall Gleeson']",5.6,35,22341,12.05
The Intruder,2019,102,Horror,"['Deon Taylor', 'Michael Ealy', 'Meagan Good', 'Dennis Quaid', 'Joseph Sikora']","['Michael Ealy', 'Meagan Good', 'Dennis Quaid', 'Joseph Sikora']",5.6,39,19043,35.42
Your Highness,2011,102,Action,"['David Gordon Green', 'Danny McBride', 'Natalie Portman', 'James Franco', 'Rasmus Hardiker']","['Danny McBride', 'Natalie Portman', 'James Franco', 'Rasmus Hardiker']",5.5,31,103230,21.6
The Cloverfield Paradox,2018,102,Action,"['Julius Onah', 'Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz']","['Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz']",5.5,37,109735,
Seventh Son,2014,102,Action,"['Sergei Bodrov', 'Ben Barnes', 'Julianne Moore', 'Jeff Bridges', 'Alicia Vikander']","['Ben Barnes', 'Julianne Moore', 'Jeff Bridges', 'Alicia Vikander']",5.5,30,79318,17.22
Terminal Velocity,1994,102,Action,"['Deran Sarafian', 'Charlie Sheen', 'Nastassja Kinski', 'James Gandolfini', 'Christopher McDonald']","['Charlie Sheen', 'Nastassja Kinski', 'James Gandolfini', 'Christopher McDonald']",5.5,,14339,16.48
Fatale,2020,102,Thriller,"['Deon Taylor', 'Hilary Swank', 'Michael Ealy', 'Mike Colter', 'Damaris Lewis']","['Hilary Swank', 'Michael Ealy', 'Mike Colter', 'Damaris Lewis']",5.4,42,12788,
Jennifer's Body,2009,102,Comedy,"['Karyn Kusama', 'Megan Fox', 'Amanda Seyfried', 'Adam Brody', 'Johnny Simmons']","['Megan Fox', 'Amanda Seyfried', 'Adam Brody', 'Johnny Simmons']",5.4,47,143227,16.2
Bel Ami,2012,102,Crime,"['Declan Donnellan', 'Nick Ormerod', 'Robert Pattinson', 'Uma Thurman', 'Kristin Scott Thomas', 'Christina Ricci']","['Nick Ormerod', 'Robert Pattinson', 'Uma Thurman', 'Kristin Scott Thomas', 'Christina Ricci']",5.4,42,19039,0.12
Tusk,2014,102,Comedy,"['Kevin Smith', 'Justin Long', 'Michael Parks', 'Haley Joel Osment', 'Genesis Rodriguez']","['Justin Long', 'Michael Parks', 'Haley Joel Osment', 'Genesis Rodriguez']",5.3,55,59449,1.82
"I Love You, Beth Cooper",2009,102,Comedy,"['Chris Columbus', 'Hayden Panettiere', 'Paul Rust', 'Jack Carpenter', 'Lauren London']","['Hayden Panettiere', 'Paul Rust', 'Jack Carpenter', 'Lauren London']",5.3,32,36737,14.79
Land of the Lost,2009,102,Action,"['Brad Silberling', 'Will Ferrell', 'Danny McBride', 'Anna Friel', 'Jorma Taccone']","['Will Ferrell', 'Danny McBride', 'Anna Friel', 'Jorma Taccone']",5.3,32,73617,49.44
A Good Marriage,2014,102,Crime,"['Peter Askin', 'Joan Allen', 'Anthony LaPaglia', 'Stephen Lang', 'Cara Buono']","['Joan Allen', 'Anthony LaPaglia', 'Stephen Lang', 'Cara Buono']",5.3,43,12243,
Passion,2012,102,Adventure,"['Brian De Palma', 'Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth', 'Paul Anderson']","['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth', 'Paul Anderson']",5.3,54,23720,0.09
Zookeeper,2011,102,Comedy,"['Frank Coraci', 'Kevin James', 'Rosario Dawson', 'Leslie Bibb', 'Ken Jeong']","['Kevin James', 'Rosario Dawson', 'Leslie Bibb', 'Ken Jeong']",5.2,30,63684,80.36
Racing Stripes,2005,102,Adventure,"['Frederik Du Chau', 'Frankie Muniz', 'David Spade', 'Snoop Dogg', 'Bruce Greenwood']","['Frankie Muniz', 'David Spade', 'Snoop Dogg', 'Bruce Greenwood']",5.2,43,17827,49.77
31,2016,102,Horror,"['Rob Zombie', 'Malcolm McDowell', 'Richard Brake', 'Jeff Daniel Phillips', 'Sheri Moon Zombie']","['Malcolm McDowell', 'Richard Brake', 'Jeff Daniel Phillips', 'Sheri Moon Zombie']",5.1,35,22036,0.78
Return to the Blue Lagoon,1991,102,Adventure,"['William A. Graham', 'Brian Krause', 'Milla Jovovich', 'Lisa Pelikan', 'Courtney Barilla']","['Brian Krause', 'Milla Jovovich', 'Lisa Pelikan', 'Courtney Barilla']",5.1,28,20932,2.81
